,tokens,dbz,doomEternal,twice,maroon5,coldplay,bioshock
808,columbia,0,0,0,0,0,1
809,elite,0,0,0,0,0,1
810,learns,0,0,0,0,0,1
811,or,0,1,0,0,1,0
812,drummer,0,0,0,1,1,0
813,dome,0,0,1,0,0,0
814,same,1,0,1,1,1,0
815,following,0,0,1,1,0,0
816,memes,0,0,1,0,0,0
817,companions,1,0,0,0,0,0
818,countries,1,0,0,0,1,0
819,injuries,0,0,0,1,0,0
820,continuum,0,0,0,0,0,1
821,creatures,1,0,0,0,0,0
822,burial,0,0,0,0,0,1
823,weekly,1,0,0,0,0,0
824,parachutes,0,0,0,0,1,0
825,performing,0,0,0,0,1,0
826,downloadable,0,0,0,0,0,1
827,comprise,0,0,0,0,1,0
828,independent,0,0,0,1,0,0
829,sent,0,0,0,0,0,1
830,moves,0,0,0,1,0,0
831,recruited,0,0,0,1,0,0
832,popularity,1,0,0,0,0,0
833,school,0,0,0,1,0,0
834,policeman,0,0,0,0,1,0
835,20th,0,0,0,0,0,1
836,melon,0,0,1,0,0,0
837,2000,0,0,0,0,1,0
838,director,0,0,0,0,1,1
839,columbian,0,0,0,0,0,1
840,working,0,0,0,0,0,1
841,quadruple,0,0,0,1,0,0
842,suffering,0,0,0,1,0,0
843,mylo,0,0,0,0,1,0
844,merchandise,1,0,0,0,0,0
845,installment,0,0,0,0,0,1
846,girl,0,0,1,0,0,0
847,rejoined,0,0,0,1,0,0
848,1912,0,0,0,0,0,1
849,chris,0,0,0,0,1,0
850,cultural,1,0,0,0,0,0
851,various,0,0,0,0,1,0
852,eventually,0,0,0,0,0,1
853,south,0,0,1,0,0,0
854,james,0,0,0,1,0,0
855,come,1,0,0,0,0,0
856,secrets,0,0,0,0,0,1
857,openness,0,0,0,0,0,1
858,critical,0,1,0,0,1,1
859,is,1,1,1,1,1,1
860,games,0,0,0,0,0,1
861,kara,0,0,0,1,0,0
862,years,0,0,1,0,0,0
863,viva,0,0,0,0,1,0
864,dark,0,0,0,0,0,1
865,mtv,0,0,0,0,1,0
866,lane,0,0,1,0,0,0
867,second,0,0,0,1,1,0
868,list,0,0,0,0,1,0
869,bōru,1,0,0,0,0,0
870,seventh,0,0,1,1,0,1
871,domestic,0,0,1,0,0,0
872,fuji,1,0,0,0,0,0
873,has,1,0,1,1,0,1
874,after,0,1,1,1,1,0
875,numbers,0,0,0,1,0,0
876,can,0,1,0,0,0,1
877,eyes,0,0,1,0,0,0
878,reached,0,0,0,1,0,0
879,rebels,0,0,0,0,0,1
880,aired,1,0,0,0,0,0
881,roller,0,0,0,0,0,1
882,multi-instrumentalist,0,0,0,1,0,0
883,hope,0,0,0,0,1,0
884,vox,0,0,0,0,0,1
885,agent,0,0,0,0,0,1
886,self-releasing,0,0,0,1,0,0
887,psychokinetic,0,0,0,0,0,1
888,charted,0,0,1,0,0,0
889,founders,0,0,0,0,0,1
890,re-releasing,0,0,0,1,0,0
891,october,0,1,1,0,0,0
892,to,1,1,1,1,1,1
893,march,0,1,0,0,0,0
894,stylized,0,0,1,0,0,0
895,wo,0,0,0,1,0,0
896,program,0,0,1,0,0,0
